validate_catalog_governance: 0 errors
Total tools: 24

Tool reversibility metadata coverage (24/24):
  get_system_info: rev=full, idem=True, scope=local
  list_processes: rev=full, idem=True, scope=local
  read_file: rev=full, idem=True, scope=local
  write_file: rev=compensating, idem=False, scope=local
  list_directory: rev=full, idem=True, scope=local
  search_files: rev=full, idem=True, scope=local
  get_clipboard: rev=full, idem=True, scope=local
  set_clipboard: rev=compensating, idem=False, scope=local
  open_application: rev=compensating, idem=False, scope=external
  open_url: rev=compensating, idem=False, scope=external
  take_screenshot: rev=full, idem=True, scope=local
  get_system_health: rev=full, idem=True, scope=local
  close_application: rev=none, idem=False, scope=irreversible
  lock_screen: rev=compensating, idem=True, scope=external
  system_shutdown: rev=none, idem=False, scope=irreversible
  system_restart: rev=none, idem=False, scope=irreversible
  submit_runtime_task: rev=compensating, idem=False, scope=external
  check_runtime_task: rev=full, idem=True, scope=external
  mcp_status: rev=full, idem=True, scope=external
  mcp_restart: rev=compensating, idem=False, scope=external
  find_in_files: rev=full, idem=True, scope=local
  get_process_details: rev=full, idem=True, scope=local
  get_network_info: rev=full, idem=True, scope=external
  list_scheduled_tasks: rev=full, idem=True, scope=local
